tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,year
27.6,7.1,19.4,23.1,-12.6,9.6,15.1,83.6,0.056,100.0,33.33,snow,1.6,6.5,31.3,21.6,342.7,1002.1,78.7,3.4,24.8,2.2,1,10,0.69,2019
18.0,0.9,9.4,6.3,-15.0,-4.5,-0.9,62.8,0.0,6.0,0.0,"rain,snow",0.0,5.1,26.4,12.8,323.5,1016.1,27.1,10.1,128.6,11.1,5,10,0.72,2019
27.9,4.0,16.2,19.9,-9.3,6.2,4.9,61.5,0.0,1.0,0.0,"rain,snow",0.0,4.9,18.3,10.3,315.2,1020.1,7.5,10.1,171.6,14.8,5,10,0.75,2020
33.0,11.0,22.5,28.5,7.2,19.6,14.4,71.4,0.256,49.0,29.17,"rain,snow",1.9,11.9,9.2,5.8,243.0,1017.5,54.9,7.8,73.3,6.5,2,10,0.78,2020
35.9,24.7,29.6,30.1,19.1,24.2,24.4,81.1,0.035,49.0,8.33,"rain,snow",0.2,10.6,15.9,8.9,292.9,1005.3,44.5,12.9,156.6,13.5,4,10,0.81,2021
32.8,18.4,25.3,27.3,10.7,18.9,19.0,77.3,0.02,14.0,12.5,"rain,snow",0.0,7.1,14.1,8.1,324.3,1010.9,48.8,13.3,90.6,7.7,2,10,0.85,2021
33.2,15.3,24.5,28.7,8.2,18.7,18.9,79.8,0.0,18.0,0.0,"rain,snow",0.0,5.0,11.4,6.5,329.7,1019.3,53.2,15.0,154.9,13.2,4,10,0.88,2022
34.2,17.1,25.3,29.1,9.2,19.2,19.6,79.5,0.0,20.0,0.0,"rain,snow",0.0,3.1,12.5,7.4,321.1,1025.3,38.4,15.0,166.8,14.4,4,10,0.91,2022
37.7,17.3,28.9,30.5,9.4,21.5,26.1,89.4,0.122,51.6,12.5,"rain,snow",0.0,2.0,39.8,14.3,235.3,1017.9,58.1,10.8,58.6,5.1,3,10,0.94,2023
38.7,34.6,36.5,35.1,26.2,30.6,34.8,93.7,0.039,51.6,12.5,"rain,snow",0.2,0.9,31.8,14.1,270.5,1006.4,88.1,7.6,24.1,2.0,1,10,0.97,2023
38.6,27.0,32.9,32.6,19.9,26.7,27.2,79.8,0.0,22.6,0.0,"rain,snow",0.0,0.5,34.4,12.3,287.6,1020.0,63.7,14.3,140.0,12.1,5,10,0.0,2024
47.7,31.4,40.5,43.6,24.3,34.6,39.4,95.9,0.0,32.3,0.0,"rain,snow",0.0,0.9,35.1,11.0,224.7,1007.5,100.0,10.2,45.9,3.7,2,10,0.04,2024
43.8,36.2,39.4,42.5,33.9,37.5,37.0,91.2,0.012,38.7,8.33,rain,0.0,0.4,24.6,7.2,286.0,1008.0,100.0,13.1,23.3,2.0,1,10,0.08,2024
46.1,28.7,36.8,40.5,20.8,28.9,29.1,74.1,0.031,38.7,4.17,rain,0.0,0.2,38.0,16.1,295.9,1011.3,27.4,13.1,170.6,14.6,6,10,0.11,2024
34.2,27.8,30.2,31.7,21.1,25.0,23.4,76.4,0.024,25.8,4.17,snow,0.0,0.3,20.4,7.4,80.0,1030.8,89.5,9.6,61.9,5.4,2,10,0.15,2024
