id,crop,year,yield,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,snow,windspeed,windgust,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,predicted_yield
1,Rice,2019,2722,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
2,Wheat,2019,3440,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
3,Maize,2019,3006,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
4,Barley,2019,2920,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
5,Jowar,2019,989,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
6,Bajra,2019,1374,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
7,Ragi,2019,1747,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
8,Small Millets,2019,809,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
9,Shree Anna/Nutri Cereals,2019,1248,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
10,Nutri/Coarse Cereals,2019,1991,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
11,Cereals,2019,2772,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
12,Tur,2019,859,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
13,Gram,2019,1142,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
14,Urad,2019,459,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
15,Moong,2019,548,22.8,4.0,14.399999999999999,14.700000000000001,-13.8,2.55,7.1,73.19999999999999,0.056,1.6,17.200000000000003,28.85,333.1,1009.1,52.900000000000006,6.75,76.7,6.65,3.0,10.0,0.705,1531.892856748557
